# wave (µm)	R (µW cm-2 sr-1 µm-1)
1.03730001e+01	1.63681700e+00
1.03750000e+01	1.67576360e+00
1.03769999e+01	1.61727330e+00
1.03789997e+01	1.53022250e+00
1.03809996e+01	1.66097070e+00
1.03830004e+01	1.99479450e+00
1.03850002e+01	2.12934180e+00
1.03870001e+01	2.09253330e+00
1.03889999e+01	1.98690390e+00
1.03909998e+01	1.84222970e+00
1.03929997e+01	1.72605040e+00
1.03950005e+01	1.99316790e+00
1.03970003e+01	2.23226480e+00
1.03990002e+01	2.35601830e+00
1.04010000e+01	2.53228780e+00
1.04029999e+01	2.52769470e+00
1.04049997e+01	2.40511660e+00
1.04069996e+01	2.44129400e+00
1.04090004e+01	2.73142740e+00
1.04110003e+01	2.94586110e+00
1.04130001e+01	2.92502000e+00
1.04150000e+01	2.95387770e+00
1.04169998e+01	3.16077970e+00
1.04189997e+01	3.23993350e+00
1.04209995e+01	3.15405390e+00
1.04230003e+01	3.11956330e+00
1.04250002e+01	3.28926710e+00
1.04270001e+01	3.49192830e+00
1.04289999e+01	3.59892820e+00
1.04309998e+01	3.63461570e+00
1.04329996e+01	3.64332180e+00
1.04350004e+01	3.64241150e+00
1.04370003e+01	3.60791950e+00
1.04390001e+01	3.56416510e+00
1.04410000e+01	3.60593410e+00
1.04429998e+01	3.74318910e+00
1.04449997e+01	3.79832790e+00
1.04469995e+01	3.79532600e+00
1.04490004e+01	3.76027970e+00
1.04510002e+01	3.74559000e+00
1.04530001e+01	3.68105290e+00
1.04549999e+01	3.28950790e+00
1.04569998e+01	2.55687500e+00
1.04589996e+01	2.72768070e+00
1.04610004e+01	3.40174150e+00
1.04630003e+01	3.59399460e+00
1.04650001e+01	3.45240040e+00
1.04670000e+01	2.89457750e+00
1.04689999e+01	2.52502850e+00
1.04709997e+01	2.91897870e+00
1.04729996e+01	2.73130680e+00
1.04750004e+01	1.99047150e+00
1.04770002e+01	1.88464260e+00
1.04790001e+01	2.57869600e+00
1.04809999e+01	3.10383650e+00
1.04829998e+01	3.21001480e+00
1.04849997e+01	3.16826490e+00
1.04870005e+01	3.06339340e+00
1.04890003e+01	2.92513280e+00
1.04910002e+01	2.78213480e+00
1.04930000e+01	2.63505790e+00
1.04949999e+01	2.46735260e+00
1.04969997e+01	2.25954990e+00
1.04989996e+01	2.00423810e+00
1.05010004e+01	1.71386110e+00
1.05030003e+01	1.39249360e+00
1.05050001e+01	1.04823210e+00
1.05070000e+01	9.38360570e-01
1.05089998e+01	1.16949630e+00
1.05109997e+01	1.53432100e+00
1.05129995e+01	1.83611370e+00
1.05150003e+01	2.10552310e+00
1.05170002e+01	2.32663800e+00
1.05190001e+01	2.52513170e+00
1.05209999e+01	2.64298460e+00
1.05229998e+01	2.74324610e+00
1.05249996e+01	2.81938820e+00
1.05270004e+01	2.83731510e+00
1.05290003e+01	2.83359860e+00
1.05310001e+01	2.81952240e+00
1.05330000e+01	2.75384090e+00
1.05349999e+01	2.52178620e+00
1.05369997e+01	2.27244420e+00
1.05389996e+01	2.02316000e+00
1.05410004e+01	1.70979610e+00
1.05430002e+01	1.33614780e+00
1.05450001e+01	1.02508290e+00
1.05469999e+01	1.03488710e+00
1.05489998e+01	1.34364560e+00
1.05509996e+01	1.68873020e+00
1.05530005e+01	1.99713280e+00
1.05550003e+01	2.16353460e+00
1.05570002e+01	2.37521460e+00
1.05590000e+01	2.69059210e+00
1.05609999e+01	2.88793970e+00
1.05629997e+01	3.05541440e+00
1.05649996e+01	3.18402500e+00
1.05670004e+01	3.24148200e+00
1.05690002e+01	2.97904850e+00
1.05710001e+01	2.45140720e+00
1.05729999e+01	2.82167340e+00
1.05749998e+01	3.43298860e+00
1.05769997e+01	3.63191840e+00
1.05790005e+01	3.54180050e+00
1.05810003e+01	3.05241060e+00
1.05830002e+01	2.93971040e+00
1.05850000e+01	3.36221460e+00
1.05869999e+01	3.04046150e+00
1.05889997e+01	2.36226770e+00
1.05909996e+01	2.50021150e+00
1.05930004e+01	3.36154390e+00
1.05950003e+01	3.89841530e+00
1.05970001e+01	4.05358360e+00
1.05990000e+01	4.07889270e+00
1.06009998e+01	3.91341330e+00
1.06029997e+01	3.48778610e+00
1.06049995e+01	3.48904470e+00
1.06070003e+01	3.93580460e+00
1.06090002e+01	4.16720100e+00
1.06110001e+01	4.23756410e+00
1.06129999e+01	4.26719000e+00
1.06149998e+01	4.28465800e+00
1.06169996e+01	4.29711480e+00
1.06190004e+01	4.29231790e+00
1.06210003e+01	4.28835680e+00
1.06230001e+01	4.28808980e+00
1.06250000e+01	4.28241060e+00
1.06269999e+01	4.26539420e+00
1.06289997e+01	4.24769310e+00
1.06309996e+01	4.25110100e+00
1.06330004e+01	4.24807170e+00
1.06350002e+01	4.21407790e+00
1.06370001e+01	4.19918820e+00
1.06389999e+01	4.19612070e+00
1.06409998e+01	4.17957640e+00
1.06429997e+01	4.13270240e+00
1.06450005e+01	4.06024500e+00
1.06470003e+01	3.98756220e+00
1.06490002e+01	4.00379320e+00
1.06510000e+01	3.98620250e+00
1.06529999e+01	3.78281780e+00
1.06549997e+01	3.56580330e+00
1.06569996e+01	3.73035880e+00
1.06590004e+01	3.87438420e+00
1.06610003e+01	3.82815790e+00
1.06630001e+01	3.65168020e+00
1.06650000e+01	3.44258360e+00
1.06669998e+01	3.41076230e+00
1.06689997e+01	3.49197390e+00
1.06709995e+01	3.33306810e+00
1.06730003e+01	3.24951770e+00
1.06750002e+01	3.11048720e+00
1.06770001e+01	3.19517450e+00
1.06789999e+01	3.17868020e+00
1.06809998e+01	3.04142400e+00
1.06829996e+01	2.83965350e+00
1.06850004e+01	2.54077820e+00
1.06870003e+01	2.49168520e+00
1.06890001e+01	2.34786630e+00
1.06910000e+01	2.30655380e+00
1.06929998e+01	2.52392150e+00
1.06949997e+01	2.46452210e+00
1.06969995e+01	2.52909090e+00
1.06990004e+01	2.38810540e+00
1.07010002e+01	1.86797520e+00
1.07030001e+01	1.58180740e+00
1.07049999e+01	1.79439760e+00
1.07069998e+01	1.78989670e+00
1.07089996e+01	1.67000930e+00
1.07110004e+01	1.88138230e+00
1.07130003e+01	1.96262590e+00
1.07150001e+01	1.66293660e+00
1.07170000e+01	1.24661090e+00
1.07189999e+01	1.16225040e+00
1.07209997e+01	1.32940050e+00
1.07229996e+01	1.41548530e+00
1.07250004e+01	1.37304960e+00
1.07270002e+01	1.14553580e+00
1.07290001e+01	1.02300560e+00
1.07309999e+01	1.01020490e+00
1.07329998e+01	9.57737150e-01
1.07349997e+01	9.64784560e-01
1.07370005e+01	9.66175200e-01
1.07390003e+01	9.92964270e-01
1.07410002e+01	1.03052630e+00
1.07430000e+01	9.70642090e-01
1.07449999e+01	9.92004160e-01
1.07469997e+01	1.11786460e+00
1.07489996e+01	1.18458710e+00
1.07510004e+01	1.20149620e+00
1.07530003e+01	1.08911100e+00
1.07550001e+01	1.14650120e+00
1.07570000e+01	1.40438180e+00
1.07589998e+01	1.58887840e+00
1.07609997e+01	1.52749280e+00
1.07629995e+01	1.40039460e+00
1.07650003e+01	1.30291570e+00
1.07670002e+01	1.15555040e+00
1.07690001e+01	1.26981940e+00
1.07709999e+01	1.28071990e+00
1.07729998e+01	1.15725520e+00
1.07749996e+01	1.35122540e+00
1.07770004e+01	1.59660050e+00
1.07790003e+01	1.61390520e+00
1.07810001e+01	1.47023790e+00
1.07830000e+01	1.23040500e+00
1.07849999e+01	1.33642330e+00
1.07869997e+01	1.73212160e+00
1.07889996e+01	2.00120810e+00
1.07910004e+01	2.26242660e+00
1.07930002e+01	2.47823760e+00
1.07950001e+01	2.56764460e+00
