# wave (µm)	R (µW cm-2 sr-1 µm-1)
5.07649994e+00	1.16613760e+00
5.07749987e+00	1.10639980e+00
5.07849979e+00	1.06558630e+00
5.07950020e+00	1.01274750e+00
5.08050013e+00	9.46365180e-01
5.08150101e+00	8.77239290e-01
5.08249998e+00	8.26833840e-01
5.08349991e+00	8.59487410e-01
5.08449984e+00	9.00187670e-01
5.08549976e+00	8.95454880e-01
5.08650017e+00	9.48671160e-01
5.08750010e+00	1.03708060e+00
5.08850002e+00	1.11168710e+00
5.08949995e+00	1.16966830e+00
5.09049988e+00	1.20000520e+00
5.09149981e+00	1.23843710e+00
5.09250021e+00	1.25766650e+00
5.09350014e+00	1.25811590e+00
5.09450102e+00	1.26886710e+00
5.09549999e+00	1.26339080e+00
5.09649992e+00	1.22482320e+00
5.09749985e+00	1.14733830e+00
5.09849977e+00	1.05732930e+00
5.09950018e+00	1.07694020e+00
5.10050011e+00	1.19240220e+00
5.10150099e+00	1.30248340e+00
5.10249996e+00	1.36744930e+00
5.10349989e+00	1.40253730e+00
5.10449982e+00	1.42229890e+00
5.10550022e+00	1.41346740e+00
5.10650015e+00	1.38259020e+00
5.10750008e+00	1.34998210e+00
5.10850000e+00	1.30156090e+00
5.10949993e+00	1.25460910e+00
5.11049986e+00	1.17008780e+00
5.11149979e+00	1.15319470e+00
5.11250019e+00	1.16190770e+00
5.11350012e+00	1.12391890e+00
5.11450100e+00	1.03108600e+00
5.11549997e+00	1.02093920e+00
5.11649990e+00	1.11585080e+00
5.11749983e+00	1.22092960e+00
5.11850023e+00	1.30970610e+00
5.11950016e+00	1.37448220e+00
5.12050009e+00	1.40931610e+00
5.12150002e+00	1.41576740e+00
5.12249994e+00	1.41790000e+00
5.12349987e+00	1.40212910e+00
5.12449980e+00	1.36649940e+00
5.12550020e+00	1.34078400e+00
5.12650013e+00	1.32667350e+00
5.12750101e+00	1.30409340e+00
5.12849998e+00	1.27179420e+00
5.12949991e+00	1.23645040e+00
5.13049984e+00	1.21801750e+00
5.13149977e+00	1.21034500e+00
5.13250017e+00	1.18025240e+00
5.13350010e+00	1.13472680e+00
5.13450098e+00	1.08213570e+00
5.13549995e+00	1.01584120e+00
5.13649988e+00	9.40009000e-01
5.13749981e+00	8.75504080e-01
5.13850021e+00	8.77992450e-01
5.13950014e+00	8.81319280e-01
5.14050007e+00	8.66840180e-01
5.14150000e+00	9.05113520e-01
5.14249992e+00	9.36582450e-01
5.14349985e+00	9.29294170e-01
5.14449978e+00	9.05986070e-01
5.14550018e+00	8.64355860e-01
5.14650011e+00	8.02940310e-01
5.14750099e+00	7.53082510e-01
5.14849997e+00	7.72310610e-01
5.14949989e+00	8.31219790e-01
