# wave (µm)	R (µW cm-2 sr-1 µm-1)
6.70650005e+00	4.33429780e-01
6.70749998e+00	5.48788790e-01
6.70849991e+00	5.93524280e-01
6.70949984e+00	5.49084720e-01
6.71049976e+00	4.50414180e-01
6.71150017e+00	4.57254230e-01
6.71250010e+00	4.83416230e-01
6.71350002e+00	4.85170270e-01
6.71449995e+00	4.46962650e-01
6.71549988e+00	4.10239960e-01
6.71649981e+00	4.10489680e-01
6.71750021e+00	4.86080910e-01
6.71850014e+00	6.05761530e-01
6.71950006e+00	6.36589650e-01
6.72049999e+00	7.00083260e-01
6.72149992e+00	8.24980320e-01
6.72249985e+00	9.17109250e-01
6.72349977e+00	8.70935320e-01
6.72450018e+00	7.60687590e-01
6.72550011e+00	7.13845430e-01
6.72650003e+00	6.78572180e-01
6.72749996e+00	5.80215810e-01
6.72849989e+00	4.92593470e-01
6.72949982e+00	4.79049320e-01
6.73050022e+00	4.97057740e-01
6.73150015e+00	5.34335490e-01
6.73250008e+00	4.18317110e-01
6.73350000e+00	2.18891380e-01
6.73449993e+00	1.31092090e-01
6.73549986e+00	1.38237630e-01
6.73649979e+00	1.81489100e-01
6.73750019e+00	2.21143190e-01
6.73850012e+00	3.58753380e-01
6.73950005e+00	4.99899150e-01
6.74049997e+00	3.13186380e-01
6.74149990e+00	1.96034060e-01
6.74249983e+00	2.23275530e-01
6.74350023e+00	3.21679650e-01
6.74450016e+00	4.51025340e-01
6.74550009e+00	4.55468300e-01
6.74650002e+00	3.80222500e-01
6.74749994e+00	3.59988690e-01
6.74849987e+00	4.04509570e-01
6.74949980e+00	4.19146660e-01
6.75050020e+00	4.46414680e-01
6.75150013e+00	4.34820650e-01
6.75250006e+00	4.65338980e-01
6.75349998e+00	5.66898170e-01
6.75449991e+00	5.89803280e-01
6.75549984e+00	5.47208670e-01
6.75649977e+00	5.81060110e-01
6.75750017e+00	7.08732960e-01
6.75850010e+00	7.78097330e-01
6.75950003e+00	6.93711880e-01
6.76049995e+00	5.61592820e-01
6.76149988e+00	4.84729470e-01
6.76249981e+00	4.31259270e-01
6.76350021e+00	4.48274970e-01
6.76450014e+00	4.30511210e-01
6.76550007e+00	4.67742320e-01
6.76650000e+00	6.85327410e-01
6.76749992e+00	7.32211590e-01
6.76849985e+00	6.39952900e-01
6.76949978e+00	5.65576020e-01
6.77050018e+00	4.37015090e-01
6.77150011e+00	3.70470520e-01
6.77250004e+00	3.98260920e-01
6.77349997e+00	3.96207660e-01
6.77449989e+00	3.81542120e-01
6.77549982e+00	3.71087970e-01
6.77650023e+00	3.04677070e-01
6.77750015e+00	2.29981020e-01
6.77850008e+00	2.28833440e-01
6.77950001e+00	2.97297480e-01
6.78049994e+00	5.94121930e-01
6.78149986e+00	7.15096830e-01
6.78249979e+00	3.66606680e-01
6.78350019e+00	1.37981190e-01
6.78450012e+00	1.76966130e-01
6.78550005e+00	2.34135630e-01
6.78649998e+00	3.64495780e-01
6.78749990e+00	6.96559970e-01
6.78849983e+00	7.49855340e-01
6.78950024e+00	6.07544420e-01
6.79050016e+00	5.51608860e-01
6.79150009e+00	4.84204230e-01
6.79250002e+00	3.15096830e-01
6.79349995e+00	2.28867900e-01
6.79449987e+00	2.68253680e-01
6.79549980e+00	2.80110780e-01
6.79650021e+00	3.53785490e-01
6.79750013e+00	4.64464520e-01
6.79850006e+00	5.43374840e-01
6.79949999e+00	5.99158050e-01
6.80049992e+00	6.25106750e-01
6.80149984e+00	5.44167040e-01
6.80249977e+00	4.08017810e-01
6.80350018e+00	3.65552660e-01
6.80450010e+00	3.61613570e-01
6.80550003e+00	3.59199080e-01
6.80649996e+00	3.79071920e-01
6.80749989e+00	4.81780260e-01
6.80849981e+00	6.49512590e-01
6.80950022e+00	7.60486840e-01
6.81050014e+00	7.02438890e-01
6.81150007e+00	5.45984920e-01
6.81250000e+00	4.71915160e-01
6.81349993e+00	4.45147750e-01
6.81449986e+00	4.30197950e-01
6.81549978e+00	3.90414660e-01
6.81650019e+00	3.40546580e-01
6.81750011e+00	2.77713210e-01
6.81850004e+00	1.91689220e-01
6.81949997e+00	1.61150080e-01
6.82049990e+00	4.07625730e-01
6.82149982e+00	7.64165100e-01
6.82250023e+00	6.96256700e-01
6.82350016e+00	4.37061250e-01
6.82450008e+00	2.79200640e-01
6.82550001e+00	2.49787630e-01
6.82649994e+00	2.73136380e-01
6.82749987e+00	3.33450700e-01
6.82849979e+00	4.22095330e-01
6.82950020e+00	4.81869340e-01
6.83050013e+00	4.87649980e-01
6.83150005e+00	4.93660870e-01
6.83249998e+00	5.54791570e-01
6.83349991e+00	6.52543900e-01
6.83449984e+00	6.94330870e-01
6.83549976e+00	5.57478370e-01
6.83650017e+00	3.79694130e-01
6.83750010e+00	3.07502300e-01
6.83850002e+00	3.23932830e-01
6.83949995e+00	3.49437150e-01
6.84049988e+00	3.62472740e-01
6.84149981e+00	4.78792280e-01
6.84250021e+00	7.43671770e-01
6.84350014e+00	8.82539390e-01
6.84450006e+00	6.96719230e-01
6.84549999e+00	5.24818720e-01
6.84649992e+00	5.93805790e-01
6.84749985e+00	6.34550750e-01
6.84849977e+00	5.67603530e-01
6.84950018e+00	5.60700060e-01
6.85050011e+00	5.29967610e-01
6.85150003e+00	4.99029400e-01
6.85249996e+00	6.43842100e-01
6.85349989e+00	6.88583490e-01
6.85449982e+00	6.68053510e-01
6.85550022e+00	6.74665270e-01
6.85650015e+00	6.38529000e-01
6.85750008e+00	6.01677480e-01
6.85850000e+00	6.46066960e-01
6.85949993e+00	7.65560690e-01
6.86049986e+00	7.45525840e-01
6.86149979e+00	6.47014680e-01
6.86250019e+00	5.70547940e-01
6.86350012e+00	3.67144260e-01
6.86450005e+00	2.41825710e-01
6.86549997e+00	3.17246820e-01
6.86649990e+00	3.64881250e-01
6.86749983e+00	3.49326370e-01
6.86850023e+00	3.87654870e-01
6.86950016e+00	4.50116840e-01
6.87050009e+00	4.45466280e-01
6.87150002e+00	5.04109740e-01
6.87249994e+00	5.98975780e-01
6.87349987e+00	6.56790440e-01
6.87449980e+00	7.10081820e-01
6.87550020e+00	7.32831950e-01
6.87650013e+00	5.58937970e-01
6.87750006e+00	4.07169520e-01
6.87849998e+00	3.90527640e-01
6.87949991e+00	3.19689010e-01
6.88049984e+00	2.95233820e-01
6.88149977e+00	3.68757550e-01
6.88250017e+00	4.19442500e-01
6.88350010e+00	4.55846850e-01
6.88450003e+00	5.93545080e-01
6.88549995e+00	7.08145440e-01
6.88649988e+00	7.26515050e-01
6.88749981e+00	6.80894200e-01
6.88850021e+00	6.50799390e-01
6.88950014e+00	7.86618050e-01
6.89050007e+00	9.11587770e-01
6.89150000e+00	9.43794130e-01
6.89249992e+00	9.40186020e-01
6.89349985e+00	8.87242790e-01
6.89449978e+00	7.81557080e-01
6.89550018e+00	6.45061020e-01
6.89650011e+00	4.96901180e-01
6.89750004e+00	3.63110070e-01
6.89849997e+00	3.00542800e-01
6.89949989e+00	3.60699210e-01
6.90049982e+00	6.09097840e-01
6.90150023e+00	7.89274570e-01
6.90250015e+00	7.01728050e-01
6.90350008e+00	4.42373780e-01
6.90450001e+00	3.35668590e-01
6.90549994e+00	3.24653740e-01
6.90649986e+00	3.88625260e-01
6.90749979e+00	5.29767390e-01
6.90850019e+00	7.19183680e-01
6.90950012e+00	8.72654910e-01
6.91050005e+00	9.77240560e-01
6.91149998e+00	9.94681480e-01
6.91249990e+00	9.78062090e-01
6.91349983e+00	9.61887840e-01
6.91450024e+00	8.24781890e-01
6.91550016e+00	7.35582950e-01
6.91650009e+00	1.05726440e+00
6.91750002e+00	1.24839010e+00
6.91849995e+00	1.24462350e+00
6.91949987e+00	1.35019160e+00
6.92049980e+00	1.31323580e+00
6.92150021e+00	1.02178760e+00
6.92250013e+00	6.26733840e-01
6.92350006e+00	4.14094030e-01
6.92449999e+00	3.85465950e-01
6.92549992e+00	3.60719590e-01
