# wave (µm)	R (µW cm-2 sr-1 µm-1)
7.51100016e+00	1.24635420e+00
7.51300001e+00	9.35035820e-01
7.51499987e+00	5.70522130e-01
7.51700020e+00	5.22360980e-01
7.51900005e+00	6.06891390e-01
7.52099991e+00	6.94968040e-01
7.52299976e+00	1.37466350e+00
7.52500010e+00	1.29338320e+00
7.52699995e+00	1.40853940e+00
7.52899981e+00	1.52653050e+00
7.53100014e+00	2.22697950e+00
7.53299999e+00	4.70619920e+00
7.53499985e+00	5.64263630e+00
7.53700018e+00	3.13304950e+00
7.53900003e+00	1.47395420e+00
7.54099989e+00	9.08429090e-01
7.54300022e+00	6.95923330e-01
7.54500008e+00	5.35413800e-01
7.54699993e+00	5.90054510e-01
7.54899979e+00	6.04218130e-01
7.55100012e+00	1.23517180e+00
7.55299997e+00	1.98848860e+00
7.55499983e+00	1.53530190e+00
7.55700016e+00	9.40826060e-01
7.55900002e+00	9.52593390e-01
7.56099987e+00	1.87917970e+00
7.56300020e+00	4.44451240e+00
7.56500006e+00	3.51948760e+00
7.56699991e+00	1.41506600e+00
7.56899977e+00	8.02393200e-01
7.57100010e+00	5.46380940e-01
7.57299995e+00	4.71629680e-01
7.57499981e+00	4.76443920e-01
7.57700014e+00	5.27397040e-01
7.57900000e+00	3.66620120e-01
7.58099985e+00	1.20596800e+00
7.58300018e+00	2.09137960e+00
7.58500004e+00	8.07918550e-01
7.58699989e+00	4.48478550e-01
7.58900023e+00	6.00568000e-01
7.59100008e+00	1.21391270e+00
7.59299994e+00	3.39730860e+00
7.59499979e+00	3.43915320e+00
7.59700012e+00	1.27298380e+00
7.59899998e+00	6.42814820e-01
7.60099983e+00	4.16050310e-01
7.60300016e+00	3.20396040e-01
7.60500002e+00	2.93504030e-01
7.60699987e+00	3.16816300e-01
7.60900021e+00	3.88884400e-01
7.61100006e+00	1.30509030e+00
7.61299992e+00	1.00158060e+00
7.61499977e+00	3.79486440e-01
7.61700010e+00	3.88069570e-01
7.61899996e+00	5.22092280e-01
7.62099981e+00	8.69154100e-01
7.62300014e+00	1.98251450e+00
7.62500000e+00	4.39832450e+00
7.62699986e+00	2.56935210e+00
7.62900019e+00	1.03768660e+00
7.63100004e+00	6.36765000e-01
7.63299990e+00	5.01080040e-01
7.63500023e+00	4.77812770e-01
7.63700008e+00	5.22903380e-01
7.63899994e+00	5.26616630e-01
7.64099979e+00	1.01965740e+00
7.64300013e+00	1.14989420e+00
7.64499998e+00	7.62169120e-01
7.64699984e+00	9.22880590e-01
7.64900017e+00	1.27949140e+00
7.65100002e+00	1.91502370e+00
7.65299988e+00	3.34877920e+00
7.65500021e+00	5.91074850e+00
7.65700006e+00	6.82918360e+00
7.65899992e+00	6.83870120e+00
7.66099977e+00	6.14115670e+00
7.66300011e+00	6.22648430e+00
7.66499996e+00	6.10867830e+00
7.66699982e+00	5.85350610e+00
7.66900015e+00	5.55597350e+00
7.67100000e+00	6.29443070e+00
7.67299986e+00	5.40207860e+00
7.67500019e+00	5.13681220e+00
7.67700005e+00	4.04966550e+00
7.67899990e+00	3.78445320e+00
7.68100023e+00	5.04795690e+00
7.68300009e+00	5.39171220e+00
7.68499994e+00	3.74134660e+00
7.68699980e+00	1.56780350e+00
7.68900013e+00	2.65916780e+00
7.69099998e+00	4.09410140e+00
7.69299984e+00	4.46538110e+00
7.69500017e+00	3.54511860e+00
7.69700003e+00	1.21993720e+00
7.69899988e+00	8.30816270e-01
7.70100021e+00	1.81334630e+00
7.70300007e+00	3.42954400e+00
7.70499992e+00	4.81397630e+00
7.70699978e+00	5.21333410e+00
7.70900011e+00	2.71701460e+00
7.71099997e+00	2.27987980e+00
7.71299982e+00	2.01309920e+00
7.71500015e+00	1.97994970e+00
7.71700001e+00	2.32574870e+00
7.71899986e+00	3.01112340e+00
7.72100019e+00	3.61741330e+00
7.72300005e+00	3.71749000e+00
7.72499990e+00	4.92156120e+00
7.72700024e+00	3.33180090e+00
7.72900009e+00	2.05708380e+00
7.73099995e+00	1.95636060e+00
7.73299980e+00	8.81633160e-01
7.73500013e+00	2.14523320e+00
7.73699999e+00	2.59701250e+00
7.73899984e+00	1.50124690e+00
7.74100018e+00	8.67868190e-01
7.74300003e+00	3.70388900e-01
7.74499989e+00	4.18558720e-01
7.74700022e+00	8.22270510e-01
7.74900007e+00	8.55352640e-01
7.75099993e+00	1.26886370e+00
7.75299978e+00	2.08067150e+00
7.75500011e+00	1.80210830e+00
7.75699997e+00	3.28219890e+00
7.75899982e+00	4.58945130e+00
7.76100016e+00	4.84604500e+00
7.76300001e+00	3.78769990e+00
7.76499987e+00	5.30826620e+00
7.76700020e+00	2.93882440e+00
7.76900005e+00	1.26702430e+00
7.77099991e+00	1.54123800e+00
7.77299976e+00	2.10781620e+00
7.77500010e+00	7.36907480e-01
7.77699995e+00	4.98842570e-01
7.77899981e+00	8.83040670e-01
7.78100014e+00	1.04431950e+00
7.78299999e+00	5.50390480e-01
7.78499985e+00	7.79578800e-01
7.78700018e+00	1.03906670e+00
7.78900003e+00	2.14307500e+00
7.79099989e+00	5.04038620e+00
7.79300022e+00	5.08417130e+00
7.79500008e+00	5.25247530e+00
7.79699993e+00	4.25880430e+00
7.79899979e+00	1.95684900e+00
7.80100012e+00	2.75394420e+00
7.80299997e+00	4.56173320e+00
7.80499983e+00	2.37412790e+00
7.80700016e+00	1.42510720e+00
7.80900002e+00	1.20028140e+00
7.81099987e+00	1.55496950e+00
7.81300020e+00	1.34041990e+00
7.81500006e+00	9.22040280e-01
7.81699991e+00	4.77028370e-01
7.81899977e+00	3.65087030e-01
7.82100010e+00	4.29346680e-01
7.82299995e+00	6.03203120e-01
7.82499981e+00	1.16211130e+00
7.82700014e+00	3.62364790e+00
7.82900000e+00	3.85631900e+00
7.83099985e+00	4.12368150e+00
7.83300018e+00	3.28725910e+00
7.83500004e+00	1.28387420e+00
7.83699989e+00	1.49971770e+00
7.83900023e+00	2.72686430e+00
7.84100008e+00	4.97595550e+00
7.84299994e+00	5.10792450e+00
7.84499979e+00	2.29523300e+00
7.84700012e+00	1.19409660e+00
7.84899998e+00	1.45472560e+00
7.85099983e+00	5.89778960e-01
7.85300016e+00	3.96716210e-01
7.85500002e+00	3.70231420e-01
7.85699987e+00	4.44150870e-01
7.85900021e+00	5.37380750e-01
7.86100006e+00	1.01019470e+00
7.86299992e+00	2.98843500e+00
7.86499977e+00	5.50705290e+00
7.86700010e+00	3.41151600e+00
7.86899996e+00	4.88634780e+00
7.87099981e+00	2.44039940e+00
7.87300014e+00	1.20961870e+00
7.87500000e+00	1.59966190e+00
7.87699986e+00	1.87896840e+00
7.87900019e+00	3.16990660e+00
7.88100004e+00	4.20896200e+00
7.88299990e+00	3.76594350e+00
7.88500023e+00	4.25309850e+00
7.88700008e+00	4.98071580e+00
7.88899994e+00	3.47915960e+00
7.89099979e+00	1.20063100e+00
7.89300013e+00	6.24764380e-01
7.89499998e+00	5.49090450e-01
7.89699984e+00	7.54536690e-01
7.89900017e+00	1.70283150e+00
7.90100002e+00	4.49139930e+00
7.90299988e+00	4.20620920e+00
7.90500021e+00	1.30082940e+00
7.90700006e+00	5.76217830e-01
7.90899992e+00	1.17235150e+00
7.91099977e+00	1.66264390e+00
7.91300011e+00	1.54820260e+00
7.91499996e+00	4.50247480e+00
7.91699982e+00	3.29093240e+00
7.91900015e+00	1.35604800e+00
7.92100000e+00	2.19275900e+00
7.92299986e+00	3.68475290e+00
7.92500019e+00	2.83546780e+00
7.92700005e+00	2.90793820e+00
7.92899990e+00	1.72764420e+00
7.93100023e+00	3.92515440e+00
7.93300009e+00	2.63096640e+00
7.93499994e+00	1.52340050e+00
7.93699980e+00	4.41157820e+00
7.93900013e+00	5.13719610e+00
7.94099998e+00	1.86374590e+00
7.94299984e+00	1.12404070e+00
7.94500017e+00	5.30449570e-01
7.94700003e+00	9.29467440e-01
7.94899988e+00	8.69746510e-01
7.95100021e+00	4.38100130e-01
7.95300007e+00	5.75593050e-01
7.95499992e+00	6.10354900e-01
7.95699978e+00	2.38841530e+00
7.95900011e+00	2.30855660e+00
7.96099997e+00	1.11196410e+00
7.96299982e+00	4.80716740e-01
7.96500015e+00	5.25084020e-01
7.96700001e+00	2.45189500e+00
7.96899986e+00	2.76042290e+00
7.97100019e+00	9.81101270e-01
7.97300005e+00	8.73929500e-01
7.97499990e+00	3.91187810e+00
7.97700024e+00	4.82349540e+00
7.97900009e+00	3.41457410e+00
7.98099995e+00	8.58749150e-01
7.98299980e+00	1.05202290e+00
7.98500013e+00	1.39879060e+00
7.98699999e+00	1.03507100e+00
7.98899984e+00	7.45115340e-01
7.99100018e+00	3.13281240e-01
7.99300003e+00	2.98442510e-01
7.99499989e+00	1.57630700e-01
7.99700022e+00	2.71681040e-01
7.99900007e+00	1.55596710e+00
8.00100040e+00	2.57060580e+00
8.00300026e+00	2.62415240e+00
8.00500011e+00	5.32021220e-01
8.00699997e+00	4.31613060e-01
8.00899982e+00	5.16359450e-01
8.01099968e+00	1.00055250e+00
8.01299953e+00	3.65956330e+00
8.01500034e+00	3.85731120e+00
8.01700020e+00	6.94910350e-01
8.01900005e+00	4.94534110e-01
8.02099991e+00	1.74542740e+00
8.02299976e+00	3.16614170e+00
8.02499962e+00	1.10641550e+00
8.02700043e+00	2.68583700e+00
8.02900028e+00	1.94119370e+00
8.03100014e+00	3.10383680e+00
8.03299999e+00	6.97909240e-01
8.03499985e+00	2.14662120e-01
8.03699970e+00	2.12358560e-01
8.03899956e+00	2.27567270e-01
8.04100037e+00	6.08887970e-01
8.04300022e+00	1.99923550e+00
8.04500008e+00	1.31287590e+00
8.04699993e+00	2.33607820e+00
8.04899979e+00	7.92403580e-01
8.05099964e+00	1.32534440e+00
8.05300045e+00	1.64060220e+00
8.05500031e+00	3.25355770e-01
8.05700016e+00	1.74756030e+00
8.05900002e+00	2.60454010e+00
8.06099987e+00	1.25532100e+00
8.06299973e+00	3.35030620e-01
8.06499958e+00	6.58445780e-01
8.06700039e+00	5.91817920e-01
8.06900024e+00	2.83242880e-01
8.07100010e+00	8.73520550e-01
8.07299995e+00	2.12779620e+00
8.07499981e+00	8.65641470e-01
8.07699966e+00	1.40946250e+00
8.07900047e+00	7.00174510e-01
8.08100033e+00	1.09428600e+00
8.08300018e+00	2.49581930e+00
8.08500004e+00	1.14555500e+00
8.08699989e+00	1.23148570e+00
8.08899975e+00	1.46535550e+00
8.09099960e+00	2.53114510e+00
8.09300041e+00	5.51427540e-01
8.09500027e+00	4.21562110e-01
8.09700012e+00	6.55177300e-01
8.09899998e+00	5.09142700e-01
8.10099983e+00	5.16769830e-01
8.10299969e+00	5.33576070e-01
8.10499954e+00	3.86480450e-01
8.10700035e+00	1.27602300e+00
8.10900021e+00	8.12289420e-01
8.11100006e+00	4.81103720e-01
8.11299992e+00	5.95490750e-01
8.11499977e+00	6.87832300e-01
8.11699963e+00	6.82316780e-01
8.11900043e+00	6.92570510e-01
8.12100029e+00	5.22773500e-01
8.12300014e+00	4.49279010e-01
8.12500000e+00	5.21515910e-01
8.12699986e+00	9.94330410e-01
8.12899971e+00	2.13288880e+00
8.13099957e+00	1.19247160e+00
8.13300037e+00	1.14049240e+00
8.13500023e+00	1.71735470e+00
8.13700008e+00	1.29349610e+00
8.13899994e+00	1.22584490e+00
8.14099979e+00	9.24909830e-01
8.14299965e+00	6.61979910e-01
8.14500046e+00	5.30253350e-01
8.14700031e+00	8.50013020e-01
8.14900017e+00	1.01804660e+00
8.15100002e+00	9.95343150e-01
8.15299988e+00	9.76214530e-01
8.15499973e+00	8.08105950e-01
8.15699959e+00	7.06582070e-01
8.15900040e+00	8.52187220e-01
8.16100025e+00	8.48601100e-01
8.16300011e+00	1.11618160e+00
8.16499996e+00	1.37468920e+00
8.16699982e+00	1.34850650e+00
8.16899967e+00	1.29693530e+00
8.17099953e+00	1.23479270e+00
8.17300034e+00	1.03929840e+00
8.17500019e+00	1.07271830e+00
8.17700005e+00	9.36108950e-01
8.17899990e+00	1.10260930e+00
8.18099976e+00	7.64092390e-01
8.18299961e+00	8.22089910e-01
8.18500042e+00	9.03681160e-01
8.18700027e+00	6.87378940e-01
8.18900013e+00	6.02875590e-01
8.19099998e+00	1.34881510e+00
8.19299984e+00	5.52467820e-01
8.19499969e+00	9.21290640e-01
8.19699955e+00	5.88767710e-01
8.19900036e+00	1.19088910e+00
8.20100021e+00	7.06838910e-01
8.20300007e+00	9.03174280e-01
8.20499992e+00	9.57008660e-01
8.20699978e+00	9.81967210e-01
8.20899963e+00	1.20106010e+00
8.21100044e+00	9.51524790e-01
8.21300030e+00	1.18254610e+00
8.21500015e+00	7.86866370e-01
8.21700001e+00	7.37789210e-01
8.21899986e+00	8.71786590e-01
8.22099972e+00	1.12055130e+00
8.22299957e+00	1.36455070e+00
8.22500038e+00	8.24284850e-01
8.22700024e+00	1.20094820e+00
8.22900009e+00	1.65404080e+00
8.23099995e+00	1.89253800e+00
8.23299980e+00	2.00697970e+00
8.23499966e+00	2.22800090e+00
8.23700047e+00	2.08259800e+00
8.23900032e+00	1.97132540e+00
8.24100018e+00	1.75829940e+00
8.24300003e+00	2.03918910e+00
8.24499989e+00	1.81969310e+00
8.24699974e+00	1.59541830e+00
8.24899960e+00	1.32493900e+00
8.25100040e+00	1.53553640e+00
8.25300026e+00	1.07837090e+00
8.25500011e+00	1.14419440e+00
8.25699997e+00	1.23509610e+00
8.25899982e+00	1.27952370e+00
8.26099968e+00	1.24341330e+00
8.26299953e+00	1.34831070e+00
8.26500034e+00	1.55114210e+00
8.26700020e+00	1.33843800e+00
8.26900005e+00	1.00322080e+00
8.27099991e+00	9.24202080e-01
8.27299976e+00	9.05520860e-01
8.27499962e+00	1.24573600e+00
8.27700043e+00	1.29268430e+00
8.27900028e+00	1.57152010e+00
