# wave (µm)	R (µW cm-2 sr-1 µm-1)
5.83650017e+00	1.63426770e-02
5.83750010e+00	2.29448990e-02
5.83850002e+00	2.18552910e-02
5.83949995e+00	1.39728710e-02
5.84049988e+00	9.93502890e-03
5.84149981e+00	1.76549550e-02
5.84250021e+00	3.01261250e-02
5.84350014e+00	4.18250670e-02
5.84450006e+00	5.10621930e-02
5.84549999e+00	5.79442200e-02
5.84649992e+00	6.11405820e-02
5.84749985e+00	5.62514810e-02
5.84849977e+00	4.51444160e-02
5.84950018e+00	4.49371150e-02
5.85050011e+00	4.16359640e-02
5.85150003e+00	3.16111710e-02
5.85249996e+00	2.03828850e-02
5.85349989e+00	1.07497720e-02
5.85449982e+00	1.44035110e-02
5.85550022e+00	2.61241630e-02
5.85650015e+00	2.97249950e-02
5.85750008e+00	2.00873040e-02
5.85850000e+00	1.05044020e-02
5.85949993e+00	1.38158690e-02
5.86049986e+00	2.70215440e-02
5.86149979e+00	3.91310790e-02
5.86250019e+00	4.78194100e-02
5.86350012e+00	5.40342410e-02
5.86450005e+00	5.66035510e-02
5.86549997e+00	5.13643770e-02
5.86649990e+00	3.74271910e-02
5.86749983e+00	1.97966990e-02
5.86850023e+00	1.25485750e-02
5.86950016e+00	1.30512200e-02
5.87050009e+00	1.23609190e-02
5.87150002e+00	1.97132230e-02
5.87249994e+00	3.74314860e-02
5.87349987e+00	5.20903840e-02
5.87449980e+00	5.94980080e-02
5.87550020e+00	5.81111460e-02
5.87650013e+00	4.19041180e-02
5.87750006e+00	2.76456310e-02
5.87849998e+00	4.11512890e-02
5.87949991e+00	5.80876360e-02
5.88049984e+00	5.92868030e-02
5.88149977e+00	5.50787340e-02
5.88250017e+00	4.74111030e-02
5.88350010e+00	3.33393070e-02
5.88450003e+00	1.84402470e-02
5.88549995e+00	1.33908120e-02
5.88649988e+00	1.59230770e-02
5.88749981e+00	1.23288640e-02
5.88850021e+00	9.13373010e-03
5.88950014e+00	1.14956800e-02
5.89050007e+00	1.99050200e-02
5.89150000e+00	2.16793680e-02
5.89249992e+00	2.51229890e-02
5.89349985e+00	2.82757930e-02
5.89449978e+00	2.59481580e-02
5.89550018e+00	3.96715480e-02
5.89650011e+00	5.03097060e-02
